title,price,seller_name,seller_reputation,reviews_count,rating,url,platform,description,specifications,images,availability,shipping_info,scraped_at
Kit Cartucho Hp 664 Preto E Hp 664 Colorido,R$ 153,Vendido porvanvan,,3356,4.7,https://www.mercadolivre.com.br/kit-cartucho-hp-664-preto-e-hp-664-colorido/p/MLB36751072#polycard_client=search-nordic&searchVariation=MLB36751072&wid=MLB3789824595&position=4&search_layout=grid&type=product&tracking_id=91b6f138-7da3-43d0-b969-536ebebeccf1&sid=search,Mercado Livre,KIT DE CARTUCHOS DE TINTA HP ORIGINAL 664 PRETO E COLORIDO 1 Cartucho HP 664 preto + 1 Cartucho HP 664 Color ESPECIFICAÇÕES: - Desempenho: Até 120 páginas - Compatibilidade: HP DeskJet 1110 HP DeskJet 1115 HP DeskJet 2130 HP DeskJet 2134 HP DeskJet 2135 HP DeskJet 2136 HP Deskjet 2674 HP Deskjet 2675 HP Deskjet 2676 HP DeskJet 3630 HP DeskJet 3636 HP OfficeJet 3830 HP Deskjet Ink Advantage 3776 HP Deskjet Ink Advantage 3786 HP Deskjet Ink Advantage 3788 HP Deskjet Ink Advantage 3790 HP Deskjet I,Marca HP | Linha Advantage | Modelo 664 | Modelo alfanumérico F6V29AL | Tipo de cartucho Original | Conteúdo total em volume 2 mL | Cor da tinta Cores | Modelo detalhado F6V29AB,,(+50 disponíveis),"Chegará grátis amanhã
Comprando dentro das próximas 19 h 53 min
Mais formas de entrega",2025-06-18T04:19:35.166325
"Cartucho HP 664 preto(F6V29AB) Para Deskjet 4535, 4675, 1115, 2135, 3775",R$ 78,Loja oficialEshop,,2063,4.7,https://www.mercadolivre.com.br/cartucho-hp-664-pretof6v29ab-para-deskjet-4535-4675-1115-2135-3775/p/MLB22534728#polycard_client=search-nordic&searchVariation=MLB22534728&wid=MLB3927113057&position=5&search_layout=grid&type=product&tracking_id=91b6f138-7da3-43d0-b969-536ebebeccf1&sid=search,Mercado Livre,"cartucho HP 664 Preto(F6V29A) 2ml Especificações de impressão -Conteúdo: 2ml -Cor: Preto -Tecnologia de impressão: Jato de tinta Rendimento -1 Cartucho 664 preto rende até 120 páginas,considerando 5% de cobertura na folha A4. Para um bom rendimento do cartucho o ideal é não ultrapassarmos os 5% área de cobertura. Quando utilizado o recurso de negritar títulos, trechos ou incluímos imagens essa porcentagem de cobertura facilmente sobe para 10%. Isto faz com que seu cartucho dure menos páginas. Im",Marca HP | Linha DeskJet | Modelo F6V29AB | Modelo alfanumérico (F6V29AB) | Tipo de cartucho Original | Conteúdo total em volume 2 mL | Cor da tinta Preto | Modelo detalhado F6V29AB,,(+50 disponíveis),Chegará grátis entre domingo e terça-feira,2025-06-18T04:22:05.726572
"Cartucho HP 664 Colorido(F6V28AB) Para Ink Advantage 1115, 2134, 2136, 2676, 3636, 3776, 3786, 3788,3790, 3836, 4536, 4676,5076, 5276",R$ 77,Loja oficialEshop,,3356,4.7,https://www.mercadolivre.com.br/cartucho-hp-664-coloridof6v28ab-para-ink-advantage-1115-2134-2136-2676-3636-3776-3786-37883790-3836-4536-46765076-5276/p/MLB36752265#polycard_client=search-nordic&searchVariation=MLB36752265&wid=MLB3947461641&position=6&search_layout=grid&type=product&tracking_id=91b6f138-7da3-43d0-b969-536ebebeccf1&sid=search,Mercado Livre,"cartucho HP 664 Tricolor (F6V29AB) 2ml Especificações de impressão -Conteúdo: 2ml -Tecnologia de impressão: Jato de tinta - Tinta a base de corante Rendimento -1 Cartucho 664 tricolor rende até 100 páginas. Rendimento considerando 5% de cobertura na folha A4. Para um bom rendimento do cartucho o ideal é não ultrapassarmos os 5% área de cobertura. Quando utilizado o recurso de negritar títulos, trechos ou incluímos imagens essa porcentagem de cobertura facilmente sobe para 10%. Isto faz com que s",Marca HP | Linha Advantage | Modelo 664 | Modelo alfanumérico F6V29AL | Tipo de cartucho Original | Conteúdo total em volume 2 mL | Cor da tinta COLORIDO | Modelo detalhado F6V28AB,,(+50 disponíveis),Chegará grátis entre domingo e terça-feira,2025-06-18T04:24:36.150659
Cartucho De Tinta Hp 664 Negro y 664 Tricolor 2 Unidades,R$ 153,Vendido porOBERO INFORMATICA,,311,4.6,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-664-negro-y-664-tricolor-2-unidades/p/MLB36783881#polycard_client=search-nordic&searchVariation=MLB36783881&wid=MLB3688322801&position=7&search_layout=grid&type=product&tracking_id=91b6f138-7da3-43d0-b969-536ebebeccf1&sid=search,Mercado Livre,Kit de cartuchos de tinta HP original 664 preto e colorido 1 cartucho HP 664 preto + 1 cartucho HP 664 color Especificações: Desempenho: até 120 páginas Compatibilidade: HP DeskJet 1110 HP DeskJet 1115 HP DeskJet 2130 HP DeskJet 2134 HP DeskJet 2135 HP DeskJet 2136 HP DeskJet 2674 HP DeskJet 2675 HP DeskJet 2676 HP DeskJet 3630 HP DeskJet 3636 HP OfficeJet 3830 HP DeskJet Ink Advantage 3776 HP DeskJet Ink Advantage 3786 HP DeskJet Ink Advantage 3788 HP DeskJet Ink Advantage 3790 HP DeskJet Ink A,Marca HP | Linha Advantage | Modelo 664 Negro + 664 Tricolor | Tipo de cartucho Original | Conteúdo total em volume 4 mL | Cor da tinta Preto/Tricolor | Unidades por embalagem 2 | Modelo detalhado F6V29AL/F6V28AL,,(+50 disponíveis),"Chegará grátis amanhã
Comprando dentro das próximas 19 h 30 min
Mais formas de entrega",2025-06-18T04:27:06.396935
Cartucho de tinta preta HP Advantage 664 de 2 ml,R$ 66,Vendido porOBERO INFORMATICA,,3356,4.7,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-advantage-664-de-2-ml/p/MLB36751629#polycard_client=search-nordic&searchVariation=MLB36751629&wid=MLB5294137512&position=8&search_layout=grid&type=product&tracking_id=91b6f138-7da3-43d0-b969-536ebebeccf1&sid=search,Mercado Livre,"Imprima documentos do dia a dia com alta qualidade e a um preço acessível com cartuchos de tinta HP de baixo custo, projetados com proteção contra fraudes e alertas inteligentes de pouca tinta para oferecer desempenho sem preocupações e resultados consistentes com os quais você pode contar. Impressão de cores consumíveis: Preto Gota de tinta: 22 pl Tipos de tinta: à base de pigmento - Rendimento de páginas (preto e branco): 120 páginas - Faixa de temperatura operacional de 15 a 32°C - Temperatur",Marca HP | Linha Advantage | Modelo 664 | Modelo alfanumérico F6V29AL | Tipo de cartucho Original | Conteúdo total em volume 2 mL | Cor da tinta Preto | Modelo detalhado F6V29AB,,(+50 disponíveis),Chegará grátis entre segunda-feira e quarta-feira 25/jun,2025-06-18T04:29:36.894118
Cartucho de tinta preta HP 122,R$ 110,Vendido porCASAPRINT SPEED,,133,4.7,https://www.mercadolivre.com.br/cartucho-de-tinta-preta-hp-122/p/MLB36780554#polycard_client=search-nordic&searchVariation=MLB36780554&wid=MLB3776142301&position=8&search_layout=grid&type=product&tracking_id=78686e9d-e69b-46e4-a229-42c2e7e985a4&sid=search,Mercado Livre,Impressões com Qualidade Profissional Os cartuchos HP Standard foram projetados para proporcionar visibilidade em seus documentos tanto coloridos como em preto. Veja imagens e fotos com detalhes minuciosos e imprima textos nítidos Os cartuchos HP não causam danos á impressora. Oferecem um desempenho consistente e confiável. Rendem 2x mais que cartuchos recarregados Fabricados com até 70% de plástico reciclável Ótima relação custo/benefício Compatibilidade: - Impressora HP Deskjet 1000 J110a - Im,Marca HP | Linha DeskJet | Modelo 122 | Modelo alfanumérico preto(CH563HB) | Tipo de cartucho Original | Cor da tinta Preto | Formato de venda Unidade | Modelo detalhado CH561HL,,,"Chegará grátis entre domingo e segunda-feira
Mais formas de entrega",2025-06-18T04:32:30.752590
Cartuchos Para Impressora 2136/2676 664xl Hp Black+color,R$ 263,Vendido porSUST20240117165058,,221,4.5,https://www.mercadolivre.com.br/cartuchos-para-impressora-21362676-664xl-hp-blackcolor/p/MLB24123269#polycard_client=search-nordic&searchVariation=MLB24123269&wid=MLB3891250431&position=4&search_layout=grid&type=product&tracking_id=78686e9d-e69b-46e4-a229-42c2e7e985a4&sid=search,Mercado Livre,Vendido por SUST20240117165058 +5 Produtos | Resumo de opiniões gerado por IA | cartucho hp deskjet ink advantage 2516,Marca HP | Linha Ink Advantage | Modelo 664XL | Tipo de cartucho Original | Cor da tinta Preto/Tricolor | Unidades por embalagem 2 | Formato de venda Kit | Tipo de tinta Preta: Pigmentada- Color: Corante,,(+10 disponíveis),"Chegará grátis entre 7 e 11/jul
Mais formas de entrega",2025-06-18T04:35:32.657384
Cartucho de Tinta HP 122 Preto,R$ 98,Loja oficialLepok,,125,4.8,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-122-preto/p/MLB24113444#polycard_client=search-nordic&searchVariation=MLB24113444&wid=MLB5276602886&position=7&search_layout=grid&type=product&tracking_id=78686e9d-e69b-46e4-a229-42c2e7e985a4&sid=search,Mercado Livre,"Cartucho de Tinta HP 122 Preto Original CH561HB - Não recarregável Os cartuchos foram projetados para garantir que sua impressora forneça textos nítidos e com cores intensas. A impressão é fácil e o valor é excelente. Fácil de usar, com a tecnologia que permite terminar a impressão de um documento importante mesmo quando os níveis de uma cor específica estão baixos. Mais valor para altos volumes com cartuchos de tinta XL (opcionais.) ESPECIFICAÇÕES TÉCNICAS: - QUANTIDADE DE TINTA: 2 ML - DESEMPE",Marca HP | Modelo 122 | Modelo alfanumérico CH561HB | Tipo de cartucho Original | Conteúdo total em volume 2 mL | Cor da tinta Preto | Formato de venda Unidade | Modelo detalhado CH561HB,,(+25 disponíveis),"Chegará grátis sábado
Mais formas de entrega",2025-06-18T04:38:24.516949
Cartucho de tinta HP 122 cor preto e color do 4 mL 2 unidades,R$ 223,Vendido pormercadoall,,133,4.7,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-122-cor-preto-e-color-do-4-ml-2-unidades/p/MLB36780400#polycard_client=search-nordic&searchVariation=MLB36780400&wid=MLB5157357982&position=5&search_layout=grid&type=product&tracking_id=78686e9d-e69b-46e4-a229-42c2e7e985a4&sid=search,Mercado Livre,Impressões com Qualidade Profissional Os cartuchos HP Standard foram projetados para proporcionar visibilidade em seus documentos tanto coloridos como em preto. Veja imagens e fotos com detalhes minuciosos e imprima textos nítidos Os cartuchos HP não causam danos á impressora. Oferecem um desempenho consistente e confiável. Rendem 2x mais que cartuchos recarregados Fabricados com até 70% de plástico reciclável Ótima relação custo/benefício Compatibilidade: - Impressora HP Deskjet 1000 J110a - Im,Marca HP | Linha DeskJet | Modelo 122 | Modelo alfanumérico preto(CH563HB) | Tipo de cartucho Original | Conteúdo total em volume 4 mL | Cor da tinta Preto e Color | Tipo de tinta À base de água,,(+5 disponíveis),"Chegará grátis amanhã
Comprando dentro das próximas 9 h 41 min
Mais formas de entrega",2025-06-18T04:40:56.671872
Kit Hp 122 Preto + Color 2000 2050 3000 3050 J610a,R$ 219,Vendido porSMCORP,,11,4.5,https://www.mercadolivre.com.br/kit-hp-122-preto-color-2000-2050-3000-3050-j610a/p/MLB41237201#polycard_client=search-nordic&searchVariation=MLB41237201&wid=MLB3907585551&position=6&search_layout=grid&type=product&tracking_id=78686e9d-e69b-46e4-a229-42c2e7e985a4&sid=search,Mercado Livre,"Neste anúncio tem: 01 Cartucho de Tinta HP 122 Preto 01 Cartucho de Tinta HP 122 Colorido CARACTERISTICAS: Os cartuchos de tinta HP oferecem qualidade excepcional e desempenho confiável para suas necessidades de impressão. Com tintas de alta qualidade, eles proporcionam impressões nítidas, cores vibrantes e texto claro. Além disso, a identificação inteligente dos cartuchos permite que a impressora reconheça automaticamente os níveis de tinta, fornecendo alertas precisos quando estiverem baixos. ",Marca HP | Linha DeskJet | Modelo 122 | Tipo de cartucho Original | Conteúdo total em volume 2 mL | Cor da tinta Preto e Tricolor | Formato de venda Unidade | Tipo de tinta À base de água,,(+10 disponíveis),"Chegará grátis amanhã
Comprando dentro das próximas 19 h 29 min
Mais formas de entrega",2025-06-18T04:43:28.601585
